A,B,Cin,CSum
0000,0000,0,00000
0000,0001,0,00001
0000,0010,0,00010
0000,0011,0,00011
0000,0100,0,00100
0000,0101,0,00101
0000,0110,0,00110
0000,0111,0,00111
0000,1000,0,01000
0000,1001,0,01001
0000,1010,0,01010
0000,1011,0,01011
0000,1100,0,01100
0000,1101,0,01101
0000,1110,0,01110
0000,1111,0,01111
0001,0000,0,00001
0001,0001,0,00010
0001,0010,0,00011
0001,0011,0,00100
0001,0100,0,00101
0001,0101,0,00110
0001,0110,0,00111
0001,0111,0,01000
0001,1000,0,01001
0001,1001,0,01010
0001,1010,0,01011
0001,1011,0,01100
0001,1100,0,01101
0001,1101,0,01110
0001,1110,0,01111
0001,1111,0,10000
0010,0000,0,00010
0010,0001,0,00011
0010,0010,0,00100
0010,0011,0,00101
0010,0100,0,00110
0010,0101,0,00111
0010,0110,0,01000
0010,0111,0,01001
0010,1000,0,01010
0010,1001,0,01011
0010,1010,0,01100
0010,1011,0,01101
0010,1100,0,01110
0010,1101,0,01111
0010,1110,0,10000
0010,1111,0,10001
0011,0000,0,00011
0011,0001,0,00100
0011,0010,0,00101
0011,0011,0,00110
0011,0100,0,00111
0011,0101,0,01000
0011,0110,0,01001
0011,0111,0,01010
0011,1000,0,01011
0011,1001,0,01100
0011,1010,0,01101
0011,1011,0,01110
0011,1100,0,01111
0011,1101,0,10000
0011,1110,0,10001
0011,1111,0,10010
0100,0000,0,00100
0100,0001,0,00101
0100,0010,0,00110
0100,0011,0,00111
0100,0100,0,01000
0100,0101,0,01001
0100,0110,0,01010
0100,0111,0,01011
0100,1000,0,01100
0100,1001,0,01101
0100,1010,0,01110
0100,1011,0,01111
0100,1100,0,10000
0100,1101,0,10001
0100,1110,0,10010
0100,1111,0,10011
0101,0000,0,00101
0101,0001,0,00110
0101,0010,0,00111
0101,0011,0,01000
0101,0100,0,01001
0101,0101,0,01010
0101,0110,0,01011
0101,0111,0,01100
0101,1000,0,01101
0101,1001,0,01110
0101,1010,0,01111
0101,1011,0,10000
0101,1100,0,10001
